has_job_experience,requires_job_training,full_time_position,company_age,no_of_employees,annual_wage,application_year,application_month,decision_date,case_status,processing_time_days,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,region_of_employment_Island,region_of_employment_Midwest,region_of_employment_Northeast,region_of_employment_South,region_of_employment_West,education_of_employee_Bachelor,education_of_employee_Doctorate,education_of_employee_High School,education_of_employee_Master
0,0,1,10,14513,1231782.032,2017,8,2017-09-30,0,49,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,21,2412,83425.65,2023,7,2023-08-02,1,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0,1,1,14,44444,122996.86,2022,1,2022-05-15,0,129,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,127,98,83434.03,2024,11,2025-02-27,0,110,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,1,16,1082,149907.39,2021,2,2021-04-20,1,73,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,9,2339,78252.14,2021,7,2021-07-23,1,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,26,4985,53635.39,2020,5,2020-07-14,1,51,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,95,3035,869917.9839999999,2019,1,2019-05-02,0,114,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
0,0,1,11,4810,74362.19,2023,12,2024-02-19,1,50,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,23,2251,67514.76,2018,7,2018-08-27,1,47,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,17,2465,83588.56,2021,10,2021-11-12,1,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,17,4069,70813.09,2022,9,2022-09-24,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,60,123876,28663.05,2023,11,2023-11-19,1,15,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,13,1652,107196.03,2020,3,2020-07-11,1,125,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,1,1,13,15756,220081.73,2019,7,2019-08-20,1,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,35,4897,74108.02,2022,1,2022-02-23,0,52,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,25,76638,3706.79,2016,8,2016-09-08,1,27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,21,2747,16132.61,2022,4,2022-09-19,1,150,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,17,4743,150441.13,2021,6,2021-07-13,1,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,46,843,79948.12,2018,4,2018-07-03,1,64,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,10,880,71128.98,2018,2,2018-02-27,0,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,9,1706,137694.98,2022,10,2023-02-27,1,134,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,1,51,2878,45642.39,2019,7,2019-12-05,1,137,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,137,1517,90108.38,2021,8,2022-01-05,1,130,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,1,42,241,71286.04,2023,10,2024-02-17,1,113,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,22,1100,99489.65,2019,6,2019-07-26,1,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,1,29,756,86332.95,2024,5,2024-10-02,1,127,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,15,2889,103029.33,2020,10,2020-12-14,1,64,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,1,18,18,40925.86,2022,2,2022-04-08,1,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,11,758,189190.48,2020,5,2020-07-21,1,68,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,22,1408,79594.12,2020,9,2020-10-27,1,39,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,140,995,135866.13,2020,11,2021-02-24,1,110,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,0,60,2415,72077.57,2023,4,2023-05-28,1,52,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,18,2395,81921.18,2018,8,2018-10-01,1,45,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,11,1809,225569.73,2021,4,2021-06-26,1,65,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,22,5512,92421.92,2023,8,2023-10-03,0,63,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,42,2520,2490.12,2023,11,2024-04-16,0,156,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,1,1,53,44,110817.26,2018,7,2018-10-31,1,93,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,109,2206,50960.01,2018,10,2019-02-20,1,137,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,14,3729,125336.9,2021,6,2021-10-31,1,137,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,11,3723,39633.32,2022,3,2022-04-19,1,44,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,29,1209,156326.33,2018,6,2018-08-11,1,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,15,19770,43630.58,2020,9,2020-10-15,1,44,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,31,2582,54614.42,2020,6,2020-07-26,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,1,20,5407,28989.87,2018,12,2019-04-27,0,136,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,1,20,2092,22924.91,2018,7,2018-09-04,1,55,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,8,2623,61567.75,2016,8,2016-09-01,1,15,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,25,226,156251.17,2016,9,2016-11-08,1,50,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,83,2405,86022.02,2016,6,2016-09-25,1,105,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,1,64,2171,49565.37,2024,12,2025-03-13,0,85,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,1,26,746,66191.41,2017,4,2017-08-16,1,125,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,16,3129,95623.2,2019,8,2019-12-28,1,147,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,24,1647,115014.05,2022,2,2022-03-07,1,15,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
